t[sec];q1[m3/sec];h1[m];h2[m];q2_measurement[m3/sec]
0;0;0;0;0,000278399
0,25;0;0;0;-0,000188544
0,5;0;0;0;0,001040841
0,75;0;0;0;-0,00031728
1;0;0;0;0,000370505
1,25;0;0;0;0,002229301
1,5;0;0;0;-0,000488935
1,75;0;0;0;0,000186193
2;0;0;0;0,001004134
2,25;0;0;0;0,001175224
2,5;0;0;0;-7,84882E-05
2,75;0;0;0;-0,000343867
3;0;0;0;-0,001043994
3,25;0;0;0;5,95936E-05
3,5;0;0;0;0,000143666
3,75;0;0;0;0,000176294
4;0;0;0;0,000482487
4,25;0;0;0;0,000640603
4,5;0;0;0;-0,001638354
4,75;0;0;0;0,000488916
5;0;0;0;-0,001113688
5,25;0;0;0;-0,001204864
5,5;0;0;0;-0,001142854
5,75;0;0;0;-0,001398303
6;0;0;0;0,000382169
6,25;0;0;0;-7,62329E-05
6,5;0;0;0;0,001174696
6,75;0;0;0;0,000537954
7;0;0;0;-0,002140735
7,25;0;0;0;0,000141999
7,5;0;0;0;-7,66912E-05
7,75;0;0;0;-1,23229E-06
8;0;0;0;0,000128743
8,25;0;0;0;-4,22274E-05
8,5;0;0;0;-0,000969939
8,75;0;0;0;-0,000610452
9;0;0;0;-0,00016211
9,25;0;0;0;0,000268796
9,5;0;0;0;2,10402E-05
9,75;0;0;0;-0,000541249
10;0;0;0;-0,000400107
10,25;0;0;0;-0,000506161
10,5;0;0;0;-0,00079523
10,75;0;0;0;-0,001810355
11;0;0;0;0,000335338
11,25;0;0;0;-0,000638399
11,5;0;0;0;-0,001729372
11,75;0;0;0;-6,68897E-05
12;0;0;0;-0,000359042
12,25;0;0;0;4,34809E-05
12,5;0,02;0;0;0,001194276
12,75;0,02;0,00625;0;0,000446941
13;0,02;0,012382813;5,85938E-05;0,000798801
13,25;0,02;0,018401733;0,000174133;-0,000330806
13,5;0,02;0,024309966;0,000225413;0,001467377
13,75;0,02;0,030108381;0,000245019;0,000563537
14;0,02;0,035798443;0,000290398;0,000457616
14,25;0,02;0,041382667;0,000378706;0,000547844
14,5;0,02;0,046863842;0,000496852;0,001339592
14,75;0,02;0,052244461;0,000627474;0,00186958
15;0,02;0,057526643;0,000763099;0,00370938
15,25;0,02;0,062712326;0,00090386;0,001013078
15,5;0,02;0,067803418;0,001051686;0,002336086
15,75;0,02;0,072801823;0,001207729;0,00385165
16;0,02;0,077709433;0,001372209;0,004068297
16,25;0,02;0,08252811;0,001544865;0,002953854
16,5;0,02;0,087259675;0,00172528;0,002736955
16,75;0,02;0,091905905;0,001913028;0,004173383
17;0,02;0,096468538;0,002107704;0,003430363
17,25;0,02;0,100949273;0,002308928;0,004329831
17,5;0,02;0,105349766;0,002516341;0,00347576
17,75;0,02;0,109671639;0,002729603;0,004322197
18;0,02;0,113916476;0,002948385;0,005447298
18,25;0,02;0,118085825;0,003172374;0,005376164
18,5;0,02;0,122181197;0,003401265;0,004261675
18,75;0,02;0,126204074;0,003634767;0,005995651
19;0,02;0,130155899;0,003872598;0,005883823
19,25;0,02;0,134038087;0,004114488;0,005663705
19,5;0,02;0,13785202;0,004360175;0,005304543
19,75;0,02;0,141599048;0,004609407;0,007648318
20;0,02;0,145280492;0,004861941;0,006339683
20,25;0,02;0,148897644;0,005117542;0,005125545
20,5;0,02;0,152451767;0,005375987;0,006727632
20,75;0,02;0,155944096;0,005637057;0,007044068
21;0,02;0,159375839;0,005900543;0,008147502
21,25;0,02;0,162748177;0,006166243;0,007318203
21,5;0,02;0,166062266;0,006433965;0,007962067
21,75;0,02;0,169319236;0,00670352;0,007236171
22;0,02;0,172520191;0,00697473;0,007144842
22,25;0,02;0,175666214;0,007247421;0,007468148
22,5;0,02;0,178758361;0,007521428;0,008010509
22,75;0,02;0,181797669;0,00779659;0,007342717
23;0,02;0,184785148;0,008072754;0,009063327
23,25;0,02;0,187721791;0,008349772;0,009762914
23,5;0,02;0,190608566;0,008627501;0,009215353
23,75;0,02;0,193446421;0,008905807;0,009277612
24;0,02;0,196236284;0,009184557;0,010791591
24,25;0,02;0,198979064;0,009463627;0,010004064
24,5;0,02;0,20167565;0,009742895;0,010226147
24,75;0,02;0,204326911;0,010022246;0,010400297
25;0,02;0,206933698;0,01030157;0,009249473
25,25;0,02;0,209496846;0,010580759;0,011335012
25,5;0,02;0,212017169;0,010859712;0,009963004
25,75;0,02;0,214495467;0,011138332;0,010447132
26;0,02;0,216932521;0,011416525;0,011384508
26,25;0,02;0,219329096;0,011694201;0,011035528
26,5;0,02;0,221685941;0,011971276;0,011701384
26,75;0,02;0,224003791;0,012247668;0,009825626
27;0,02;0,226283364;0,012523298;0,010391336
27,25;0,02;0,228525363;0,012798093;0,011911565
27,5;0,02;0,230730477;0,013071981;0,010349556
27,75;0,02;0,23289938;0,013344894;0,011141593
28;0,02;0,235032733;0,013616768;0,011623666
28,25;0,02;0,237131184;0,013887541;0,011892231
28,5;0,02;0,239195366;0,014157155;0,012911444
28,75;0,02;0,241225899;0,014425553;0,011038029
29;0,02;0,243223393;0,014692684;0,012166881
29,25;0,02;0,245188442;0,014958496;0,013886748
29,5;0,02;0,24712163;0,015222943;0,013010712
29,75;0,02;0,24902353;0,015485979;0,012807146
30;0,02;0,250894701;0,015747561;0,012019608
30,25;0,02;0,252735692;0,016007648;0,012575014
30,5;0,02;0,254547041;0,016266204;0,013456792
30,75;0,02;0,256329275;0,016523191;0,013232312
31;0,02;0,258082911;0,016778575;0,012009428
31,25;0,02;0,259808455;0,017032326;0,012735055
31,5;0,02;0,261506403;0,017284412;0,013965932
31,75;0,02;0,26317724;0,017534807;0,013974872
32;0,02;0,264821445;0,017783483;0,013558374
32,25;0,02;0,266439483;0,018030416;0,014531129
32,5;0,02;0,268031813;0,018275583;0,013996327
32,75;0,02;0,269598884;0,018518964;0,013892141
33;0,02;0,271141135;0,018760538;0,012675042
33,25;0,02;0,272658999;0,019000287;0,012073366
33,5;0,02;0,274152898;0,019238195;0,014699784
33,75;0,02;0,275623247;0,019474247;0,015724237
34;0,02;0,277070454;0,019708428;0,014092558
34,25;0,02;0,278494916;0,019940725;0,015443877
34,5;0,02;0,279897025;0,020171129;0,014478683
34,75;0,02;0,281277164;0,020399627;0,013157621
35;0,02;0,28263571;0,020626212;0,012239577
35,25;0,02;0,283973032;0,020850875;0,012557535
35,5;0,02;0,285289492;0,021073609;0,014063533
35,75;0,02;0,286585444;0,02129441;0,015789703
36;0,02;0,287861237;0,021513271;0,014312547
